id,name,price,introduce
1,"Trà hoa sen ",50000,"Hương thơm thanh khiết và vị dịu nhẹ.Trà hoa sen có tác dụng thanh lọc cơ thể, giảm căng thẳng và hỗ trợ giấc ngủ."
15,"Trà Đào Cam Sả",45000,"Trà thơm vị đào, cam tươi, sả thanh mát."
16,"Trà Tắc Mật Ong",40000,"Trà chua ngọt tự nhiên, tốt cho sức khỏe."
17,"Trà Dâu Tây Macchiato",50000,"Trà dâu tươi, lớp kem sữa béo mịn."
18,"Trà Sữa Oolong",48000,"Trà Oolong thơm nhẹ, hòa quyện với sữa béo."
19,"Trà Chanh Sả Gừng",42000,"Trà thanh nhiệt, vị gừng ấm áp."
20,"Trà Vải Hibiscus",50000,"Trà chua nhẹ từ hoa hibiscus kết hợp vải thơm ngon."
21,"Trà Xanh Chanh Dây",45000,"Vị chua ngọt, mát lạnh, nhiều vitamin C."
22,"Trà Sữa Matcha",55000,"Trà xanh Nhật Bản kết hợp sữa tươi."
23,"Trà Đen Macchiato",48000,"Trà đen đậm vị, kem sữa béo mịn."
24,"Trà Sen Vàng",52000,"Trà thanh mát, kết hợp hạt sen bùi thơm."
25,"Bánh Tiramisu",300000,"Bánh mềm, vị cafe, cacao thơm ngon."
26,"Bánh Mousse Chanh Dây",250000,"Bánh kem chua nhẹ, tươi mát."
27,"Bánh Red Velvet",350000,"Bánh đỏ rực rỡ, vị cacao, phô mai ngậy."
28,"Bánh Kem Socola",280000,"Bánh mềm xốp, phủ kem socola đậm đà."
29,"Bánh Mousse Dâu Tây",260000,"Vị chua nhẹ, lớp kem mịn mượt."
30,"Bánh Black Forest",320000,"Bánh socola kết hợp với cherry ngon miệng."
31,"Bánh Kem Trà Xanh",290000,"Hương trà xanh thanh mát, lớp kem béo."
32,"Bánh Cheese Cake",280000,"Bánh phô mai mềm mịn, chua nhẹ."
33,"Bánh Kem Dừa",270000,"Bánh phủ kem dừa, thơm béo tự nhiên."
34,"Bánh Tiramisu Matcha",330000,"Bánh tiramisu kết hợp vị trà xanh độc đáo."
35,"Bánh Biscotti",150000,"Bánh giòn, ít ngọt, giàu dinh dưỡng."
36,"Bánh Quy Bơ Đan Mạch",200000,"Bánh quy bơ béo ngậy, giòn rụm."
37,"Bánh Pocky",30000,"Bánh que phủ socola, nhiều hương vị."
38,"Bánh Madeleine",90000,"Bánh Madeleine là loại bánh nhỏ hình vỏ sò có nguồn gốc từ Pháp, kết cấu mềm mại, xốp nhẹ.
Thành phần: Gồm bơ, trứng, bột mì, đường, có thể thêm chanh hoặc vani để tăng hương vị.
Hương vị: Thơm mùi bơ sữa, có vị ngọt nhẹ và hậu vị béo."
39,"Bánh Quy Trứng Muối",160000,"Bánh quy kết hợp vị trứng muối mặn ngọt."
40,"Bánh Brownie Giòn",180000,"Bánh giòn, vị socola đậm đà."
41,"Bánh quy gừng (Gingerbread)",120000,"Bánh quy gừng có màu nâu, hương vị đặc trưng của gừng, quế, mật ong hoặc mật mía. Bánh có thể mềm hoặc giòn tùy theo cách làm.Ngọt dịu, cay nhẹ từ gừng, thơm mùi quế và mật ong."
42,"Bánh Quy Gạo Hàn Quốc",100000,"Bánh giòn, ít béo."
43,"Bánh Bông Lan Trứng Muối Sấy",140000,"Bánh mềm giòn, vị mặn ngọt đặc trưng."
44,"Bánh Quy Hạnh Nhân",190000,"Bánh quy giòn, vị hạnh nhân thơm ngon."
45,"Bánh Bông Lan Trứng Muối",250000,"Bánh mềm mịn, vị mặn ngọt."
46,"Bánh Donut Socola",50000,"Bánh chiên giòn, phủ socola thơm ngon."
47,"Bánh Croissant Bơ",45000,"Bánh ngàn lớp giòn rụm, thơm bơ."
48,"Bánh Su Kem",30000,"Vỏ bánh mỏng, nhân kem mềm mịn."
49,"Bánh Cupcake Vanilla",40000,"Bánh nhỏ, vị vani nhẹ nhàng."
50,"Bánh Sừng Bò Nhân Socola",55000,"Lớp vỏ giòn, nhân socola đậm đà."
51,"Bánh Tart Trứng",60000,"Bánh giòn, nhân kem trứng béo ngậy."
52,"Bánh Macaron",180000,"Bánh nhỏ, giòn xốp, vị ngọt thanh."
53,"Bánh Churros",50000,"Bánh chiên giòn, ăn kèm sốt socola."
54,"Bánh Muffin Việt Quất",70000,"Bánh mềm, vị ngọt nhẹ, thơm việt quất."
55,"Trà Sữa Trân Châu",45000,"Trà sữa ngọt béo, trân châu dai ngon."
56,"Nước Cam Tươi",40000,"Nước cam ép nguyên chất, giàu vitamin."
57,"Cà Phê Sữa Đá",35000,"Cà phê Việt Nam đậm đà, sữa ngọt vừa."
58,"Matcha Latte",50000,"Trà xanh sữa, vị thơm mát, ngọt dịu."
59,"Sinh Tố Bơ",55000,"Sinh tố sánh mịn, béo thơm tự nhiên."
60,"Nước Ép Dưa Hấu",40000,"Nước ép tươi, giải nhiệt mùa hè."
61,"Nước Ép Ổi Hồng",45000,"Nước ép thơm ngon, giàu vitamin C."
62,"Soda Chanh Dây",50000,"Soda chua ngọt, có gas mát lạnh."
63,"Cacao Nóng",55000,"Cacao nóng thơm béo, thích hợp ngày lạnh."
64,"Latte Caramel",60000,"Cà phê sữa với caramel ngọt ngào."
